year,Rank,Name,Country,No. of FTE students,No. of students per staff,International students,Female:Male ratio
2015,226-250,Technical University of Berlin,Germany,,,,
2015,226-250,University of Milan-Bicocca,Italy,,,,
2015,226-250,University of Kiel,Germany,,,,
2015,251-275,Nanjing University,China,,,,
2015,251-275,University of Salento,Italy,,,,
2015,251-275,Federico Santa María Technical University,Chile,,,,
2015,251-275,University of Otago,New Zealand,,,,
2015,251-275,University of Galway,Ireland,,,,
2015,251-275,University of Iceland,Iceland,,,,
2015,251-275,University of New Mexico (Main campus),United States,,,,
2015,251-275,Queen’s University Belfast,United Kingdom,,,,
2015,251-275,University of South Florida (Tampa),United States,,,,
2015,251-275,Medical University of Vienna,Austria,,,,
2015,251-275,Swedish University of Agricultural Sciences,Sweden,,,,
2015,251-275,University of Pavia,Italy,,,,
2015,251-275,University of Waterloo,Canada,,,,
2015,251-275,University of Münster,Germany,,,,
2015,251-275,University of Newcastle,Australia,,,,
2015,251-275,"University of the Andes, Colombia",Colombia,,,,
2015,251-275,Queen’s University,Canada,,,,
2015,251-275,University of the Witwatersrand,South Africa,,,,
2015,251-275,University of Trento,Italy,,,,
2015,251-275,National Tsing Hua University,Taiwan,,,,
2015,251-275,Aalto University,Finland,,,,
2015,251-275,University of Hawai’i at Mānoa,United States,,,,
2015,251-275,Technical University of Darmstadt,Germany,,,,
2015,251-275,University of Turin,Italy,,,,
2015,251-275,University of Bremen,Germany,,,,
2015,276-300,University College Cork,Ireland,,,,
2015,276-300,National Chiao Tung University,Taiwan,,,,
2015,276-300,Shanghai Jiao Tong University,China,,,,
2015,276-300,University of South Australia,Australia,,,,
2015,276-300,Norwegian University of Science and Technology,Norway,,,,
2015,276-300,University of Fribourg,Switzerland,,,,
2015,276-300,Panjab University,India,,,,
2015,276-300,LUT University,Finland,,,,
2015,276-300,University of Macau,Macao,,,,
2015,276-300,University of Nebraska-Lincoln,United States,,,,
2015,276-300,University of Cincinnati – Uptown,United States,,,,
2015,276-300,University of Bologna,Italy,,,,
2015,276-300,Stellenbosch University,South Africa,,,,
2015,276-300,Tilburg University,Netherlands,,,,
2015,276-300,Montpellier University,France,,,,
2015,276-300,Victoria University of Wellington,New Zealand,,,,
2015,276-300,University of Georgia (USA),United States,,,,
2015,276-300,University of Erlangen-Nuremberg,Germany,,,,
2015,276-300,University of Wollongong,Australia,,,,
2015,276-300,Chalmers University of Technology,Sweden,,,,
2015,276-300,Virginia Polytechnic Institute and State University,United States,,,,
2015,276-300,"Colorado State University, Fort Collins",United States,,,,
2015,276-300,Tokyo Medical and Dental University (TMDU),Japan,,,,
2015,276-300,Queensland University of Technology,Australia,,,,
2015,276-300,University of South Carolina-Columbia,United States,,,,
2015,276-300,University of Plymouth,United Kingdom,,,,
2015,276-300,University of Milan,Italy,,,,
2015,276-300,Indian Institute of Science,India,,,,
2015,301-350,Tulane University,United States,,,,
2015,301-350,Sapienza University of Rome,Italy,,,,
2015,301-350,University of Padua,Italy,,,,
2015,301-350,Sharif University of Technology,Iran,,,,
2015,301-350,Macquarie University,Australia,,,,
2015,301-350,University of Kansas,United States,,,,
2015,301-350,University of Cologne,Germany,,,,
2015,301-350,Koç University,Turkey,,,,
2015,301-350,University of Southern Denmark,Denmark,,,,
2015,301-350,University of Stirling,United Kingdom,,,,
