year,Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
2013,184,Colorado School of Mines,United States,48.0,24.9,22.5,94.3,66.0,51.2
2013,187,University College Dublin,Ireland,47.9,31.1,31.8,74.9,35.3,76.5
2013,187,University of Twente,Netherlands,47.9,35.8,46.4,55.6,79.7,61.5
2013,189,Medical University of South Carolina,United States,47.7,46.2,39.6,59.7,77.1,27.7
2013,190,The University of Western Australia,Australia,47.3,35.0,39.9,55.7,60.0,88.4
2013,190,Wake Forest University,United States,47.3,37.5,22.4,89.1,48.0,19.0
2013,192,University of Antwerp,Belgium,47.1,33.8,35.5,64.8,100.0,58.5
2013,193,University of Miami,United States,46.9,48.7,27.0,69.7,-,33.1
2013,193,Technion Israel Institute of Technology,Israel,46.9,44.8,50.2,44.0,40.8,55.9
2013,193,Iowa State University,United States,46.9,35.7,34.3,74.9,44.0,30.5
2013,196,University of Victoria,Canada,46.7,20.2,33.7,82.7,30.6,65.9
2013,196,University of Leicester,United Kingdom,46.7,33.0,32.5,66.5,34.9,83.7
2013,198,University at Buffalo,United States,46.6,46.3,40.6,52.1,42.4,50.7
2013,199,Goethe University Frankfurt,Germany,46.4,33.3,29.7,73.9,41.4,57.6
2013,200,"Birkbeck, University of London",United Kingdom,46.2,27.6,30.5,72.8,29.4,83.2
2013,201-225,Pompeu Fabra University,Spain,-,27.3,23.2,77.5,34.2,49.9
2013,201-225,University of Erlangen-Nuremberg,Germany,-,35.0,18.7,74.6,45.2,49.0
2013,201-225,Cardiff University,United Kingdom,-,32.5,38.2,60.2,39.8,68.1
2013,201-225,Johannes Gutenberg University of Mainz,Germany,-,33.5,18.4,85.2,-,57.0
2013,201-225,University of Tübingen,Germany,-,36.3,25.1,73.8,31.6,56.3
2013,201-225,Tilburg University,Netherlands,-,38.2,54.5,33.7,54.8,56.6
2013,201-225,Lomonosov Moscow State University,Russian Federation,-,63.5,48.1,19.7,70.1,50.3
2013,201-225,"St George’s, University of London",United Kingdom,-,20.0,22.6,89.7,44.1,57.9
2013,201-225,Middle East Technical University,Turkey,-,50.8,46.0,44.6,50.6,28.0
2013,201-225,University of Georgia (USA),United States,-,45.4,40.1,46.8,31.3,36.2
2013,201-225,University of Gothenburg,Sweden,-,28.3,41.9,63.8,38.6,48.4
2013,201-225,Brandeis University,United States,-,27.3,27.9,83.1,37.4,45.3
2013,201-225,Queen’s University,Canada,-,39.5,35.4,51.2,77.3,58.0
2013,201-225,University of Science and Technology of China,China,-,39.2,27.7,72.7,50.1,22.0
2013,201-225,University of Innsbruck,Austria,-,36.6,17.9,71.6,38.2,88.7
2013,201-225,Nagoya University,Japan,-,44.2,39.2,53.3,35.5,25.3
2013,201-225,University of Konstanz,Germany,-,32.6,35.6,64.5,51.9,58.5
2013,201-225,University of Dundee,United Kingdom,-,24.8,23.2,81.1,49.9,66.6
2013,201-225,"Northeastern University, US",United States,-,40.1,21.2,76.4,33.8,41.0
2013,201-225,Fudan University,China,-,45.3,39.5,51.3,46.3,38.6
2013,201-225,Universitat Autònoma de Barcelona (UAB),Spain,-,39.0,35.7,62.8,37.3,47.1
2013,201-225,University of Strasbourg,France,-,29.7,29.2,72.0,34.8,68.3
2013,201-225,University of Barcelona,Spain,-,32.5,33.4,71.4,30.9,46.0
2013,201-225,Sungkyunkwan University (SKKU),South Korea,-,47.1,48.7,39.3,98.7,30.9
2013,201-225,University of Oslo,Norway,-,33.5,39.8,62.3,31.4,59.0
2013,226-250,Université Libre de Bruxelles,Belgium,-,25.6,30.6,59.3,54.9,78.2
2013,226-250,Western University,Canada,-,39.4,37.2,44.8,44.6,51.3
2013,226-250,Simon Fraser University,Canada,-,24.0,35.3,61.0,41.6,55.6
2013,226-250,University of Würzburg,Germany,-,33.0,19.4,70.9,30.4,44.8
2013,226-250,Florida Institute of Technology,United States,-,16.2,11.9,92.5,28.7,58.4
2013,226-250,Koç University,Turkey,-,20.4,22.3,79.2,37.9,52.8
2013,226-250,University of Cincinnati – Uptown,United States,-,34.9,26.5,69.5,35.8,23.9
2013,226-250,University of Calgary,Canada,-,37.3,35.8,47.1,42.8,62.2
2013,226-250,Carleton University,Canada,-,18.3,26.7,75.1,-,56.8
2013,226-250,Indian Institute of Technology Kharagpur,India,-,44.2,45.3,39.0,72.4,16.1
2013,226-250,Chalmers University of Technology,Sweden,-,29.9,41.5,47.7,78.5,65.3
2013,226-250,Université Laval,Canada,-,36.4,27.3,57.5,56.6,54.4
2013,226-250,University of Bergen,Norway,-,28.3,26.8,66.2,41.1,71.0
2013,226-250,Mines ParisTech,France,-,39.5,25.6,51.7,99.4,62.4
2013,226-250,University of the Witwatersrand,South Africa,-,28.6,38.3,49.8,98.4,65.1
2013,226-250,National Research Nuclear University MEPhI,Russian Federation,-,20.9,10.6,100.0,59.6,18.8
2013,226-250,National Tsing Hua University,Taiwan,-,45.5,44.1,44.4,44.0,20.1
2013,226-250,University of South Florida (Tampa),United States,-,32.6,42.0,48.4,98.9,19.7
2013,226-250,Georgia Health Sciences University,United States,-,49.4,17.5,62.0,43.6,32.6
2013,226-250,Technical University of Darmstadt,Germany,-,37.8,31.8,44.4,84.4,64.4
2013,226-250,Mizzou - University of Missouri,United States,-,40.4,45.8,45.2,31.1,30.8
2013,226-250,Tulane University,United States,-,42.8,22.6,66.8,-,31.2
2013,226-250,Bilkent University,Turkey,-,34.7,30.5,60.1,39.9,42.0
2013,226-250,University of Otago,New Zealand,-,28.8,30.9,54.8,37.2,85.4
2013,226-250,University of Waterloo,Canada,-,34.7,42.1,41.8,39.4,58.3
2013,226-250,Korea University,South Korea,-,44.7,43.7,39.4,52.1,27.3
2013,251-275,The Hong Kong Polytechnic University,Hong Kong,-,34.6,41.2,39.8,42.2,65.4
2013,251-275,Macquarie University,Australia,-,22.0,29.6,54.8,37.2,86.8
2013,251-275,Tokyo Metropolitan University,Japan,-,19.0,9.8,97.1,31.1,19.6
2013,251-275,Stellenbosch University,South Africa,-,31.5,35.0,48.9,96.6,47.8
2013,251-275,University of Trieste,Italy,-,19.6,14.3,82.2,33.6,48.5
2013,251-275,Victoria University of Wellington,New Zealand,-,22.3,29.1,55.6,43.0,84.8
2013,251-275,University of Münster,Germany,-,35.9,20.4,63.6,38.2,43.2
2013,251-275,University of Campinas,Brazil,-,51.7,46.8,26.5,44.9,20.9
2013,251-275,Queensland University of Technology,Australia,-,27.6,37.0,47.0,58.9,69.2
2013,251-275,Dalhousie University,Canada,-,30.2,29.8,54.3,65.0,59.1
2013,251-275,Indian Institute of Technology Bombay,India,-,47.3,33.1,45.6,52.7,19.9
2013,251-275,University of Connecticut,United States,-,42.5,29.7,50.0,32.6,40.5
2013,251-275,University of Oregon,United States,-,31.5,21.7,70.4,-,30.2
2013,251-275,University of Milan,Italy,-,36.3,24.2,61.0,38.2,35.7
2013,251-275,University of Kiel,Germany,-,32.1,27.0,62.5,35.6,44.6
2013,251-275,University of Milan-Bicocca,Italy,-,26.1,21.1,76.0,39.0,36.2
2013,251-275,Aalto University,Finland,-,34.4,26.8,50.1,73.7,52.0
2013,251-275,Nanjing University,China,-,41.3,25.3,52.1,47.7,48.4
2013,251-275,University of Essex,United Kingdom,-,33.7,34.6,39.6,31.0,86.4
2013,251-275,National Chiao Tung University,Taiwan,-,39.6,49.6,31.5,99.0,27.2
2013,251-275,Umeå University,Sweden,-,23.5,34.5,59.6,29.7,52.4
2013,251-275,Norwegian University of Science and Technology,Norway,-,34.2,27.7,50.8,45.2,57.5
2013,251-275,University of Iceland,Iceland,-,11.4,28.0,71.0,74.4,59.9
2013,251-275,TU Wien,Austria,-,44.8,32.4,34.2,65.5,71.4
2013,276-300,Queen’s University Belfast,United Kingdom,-,28.0,23.8,52.2,48.1,87.1
2013,276-300,Istanbul Technical University,Turkey,-,34.9,25.5,52.9,98.0,20.8
2013,276-300,University of Southern Denmark,Denmark,-,18.6,19.6,67.3,75.5,67.3
2013,276-300,University of Kansas,United States,-,36.1,20.5,57.2,34.5,28.1
2013,276-300,University of Newcastle,Australia,-,21.1,29.0,49.8,72.9,70.5
2013,276-300,University of Bologna,Italy,-,34.4,27.4,53.9,35.1,37.6
2013,276-300,Swedish University of Agricultural Sciences,Sweden,-,28.4,25.3,54.6,99.8,46.8
2013,276-300,Bielefeld University,Germany,-,27.4,20.3,63.5,35.1,47.5
