year,Rank,Name,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook,rank_prefix
2024,155,University of Bologna,61.8,53.0,44.6,86.5,79.4,54.3,=
2024,155,Lancaster University,61.8,40.2,40.7,93.9,66.6,96.8,=
2024,158,Huazhong University of Science and Technology,61.7,48.8,48.1,90.0,96.9,32.9,=
2024,158,University of Waterloo,61.7,42.2,49.3,83.7,78.3,89.3,=
2024,160,University of Cologne,61.5,42.9,47.1,85.6,98.8,73.3,
2024,161,University of Antwerp,61.4,38.2,44.4,92.5,98.4,74.7,=
2024,161,Dartmouth College,61.4,57.3,40.7,84.7,68.4,60.2,=
2024,161,TU Dresden,61.4,46.6,51.1,79.3,99.7,67.9,=
2024,164,Case Western Reserve University,61.3,51.7,40.2,88.7,71.4,65.0,=
2024,164,Wuhan University,61.3,50.9,45.0,88.5,90.6,41.0,=
2024,166,University of Virginia (Main campus),61.1,51.1,40.1,88.9,79.9,60.8,
2024,167,University of Cape Town,60.9,38.7,47.0,88.3,78.2,82.9,
2024,168,Université Catholique de Louvain,60.8,39.5,49.4,83.1,92.0,83.1,=
2024,168,Eindhoven University of Technology,60.8,47.4,51.5,71.3,100.0,87.3,=
2024,168,Harbin Institute of Technology,60.8,58.8,55.1,70.9,91.2,33.9,=
2024,168,University of Liverpool,60.8,38.4,40.2,93.4,64.9,96.4,=
2024,168,Newcastle University,60.8,37.2,41.1,93.8,72.1,91.3,=
2024,168,Scuola Normale Superiore di Pisa,60.8,60.1,42.6,82.9,34.9,59.3,=
2024,174,Durham University,60.6,43.5,44.5,83.5,65.6,95.8,
2024,175,The University of Osaka,60.4,62.5,65.7,50.5,100.0,51.0,=
2024,175,University of Würzburg,60.4,40.3,43.4,90.8,99.6,63.2,=
2024,177,Beijing Normal University,60.2,57.7,45.8,77.5,67.6,52.3,=
2024,177,University of Exeter,60.2,33.5,42.5,95.7,52.2,95.5,=
2024,177,University of Ottawa,60.2,39.6,46.5,84.4,80.2,86.9,=
2024,180,Macquarie University,60.1,36.7,44.2,87.4,90.9,88.6,
2024,181,Sapienza University of Rome,60.0,53.5,48.1,77.9,85.4,46.5,
2024,182,Arizona State University (Tempe),59.9,40.9,46.2,87.5,71.5,71.7,
2024,183,University of Geneva,59.8,41.8,38.0,86.7,80.7,97.1,
2024,184,University of Twente,59.7,43.4,46.0,75.1,99.6,93.3,
2024,185,Stockholm University,59.6,32.1,49.6,91.0,59.2,81.2,=
2024,185,Tongji University,59.6,50.0,53.6,69.5,85.4,67.7,=
2024,187,Georgetown University,59.5,52.6,37.0,85.1,92.2,53.2,=
2024,187,University of Mannheim,59.5,36.5,45.4,90.2,93.6,63.7,=
2024,189,Chalmers University of Technology,59.4,42.7,46.6,79.4,97.1,74.1,
2024,190,Cardiff University,59.3,35.5,39.6,91.9,70.4,92.5,
2024,191,Tokyo Institute of Technology,59.2,59.5,63.3,49.4,100.0,60.1,=
2024,191,Tufts University,59.2,51.5,35.0,87.5,71.7,62.8,=
2024,193,University of Erlangen-Nuremberg,59.0,42.6,48.1,79.7,100.0,61.0,=
2024,193,University of Macau,59.0,38.4,38.1,90.3,61.9,93.7,=
2024,193,University of Münster,59.0,43.8,47.3,83.7,81.5,53.5,=
2024,193,University of St Andrews,59.0,46.0,42.6,77.7,63.6,95.8,=
2024,193,Ulm University,59.0,40.6,41.2,87.9,99.6,63.0,=
2024,198,Indiana University,58.9,47.3,38.4,84.9,85.8,64.7,
2024,199,University of Notre Dame,58.7,51.9,42.6,76.1,72.9,69.9,=
